movie_title,original_description,true_genre,predicted_genre
AK 47,"Rudra Pratap Sharma comes from an aspiring Hindu 'Bramhin' family consisting of his dad, Dayashankar, a bank manager by profession, his mom Sharda and a much younger sister Gaithri. The",action,romance
Dimension,"A man gets a power to cross dimensions in a cave, after using it, he finds out in the worst way that the use of dimensions has consequences.",horror,action
I Can't Sleep,"A serial killer terrorizes Paris at night, but that doesn't stop Daïga and Théo from meeting up, and falling in love.",romance,horror
The Pirates of Penzance,"After a young man leaves a band of pirates, hilarity ensues.",romance,action
Aatma,"Neha lives a wealthy lifestyle along with her mom, Suman, dad, and sister, Aarti. She meets with, falls in love, and gets married to Dr. Aman Mehra, who practices in Life Care Hospital,",horror,romance
Such a Funny Life,"David Gutierrez is an up and coming New York stand up comic who is funny on stage, but off stage he struggles with: the death of his sister Gabriella, his Autistic mother Mariah in a mental",action,romance
Somebody's Hero,An average accountant attempts to fill the boots of a movie-based superhero.,romance,action
Dawn on the Great Divide,Buck Roberts is leading a wagon train of railroad supplies and Jim Corkle and his henchman Loder are out to stop them by using white men dressed as Indians for the attacks.,romance,action
The Despicable Fantasies of Quentin Sergenov,"After being outed and blacklisted from the industry, a gay pro-wrestler is transformed into a dinosaur by a group of mad scientists and attempts to reintegrate into society with disastrous results.",horror,action
I'm Not a Terrorist,"Born in Kashmir, Ummar was sent by his mother to live with his aunt in Malaysia. There, he becomes acquitted and slowly develops a relationship with Dayana, who is the daughter of a famous",action,romance
Static Screen,The fictional tale of a boy who wanted to save the day. But paid the price when he met face-to-face with the legendary Slender Man. Based off the video game.,horror,action
Los Crímenes del Día de Todos los Santos,"November 1970. Several human remains appear in a torrent of Sant Miquel de Balansat, a small rural town in the north of Ibiza. Sergeant Prats, head of the Spanish Civil Guard in the area,",horror,action
Call of Cthulhu: At Darkest Tides,An FBI agent has gone missing and a young journalist named Christa picks up the case to find him before the Neo-Esoteric Order of Dagon does.,horror,action
Sexy Durga,"Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. The hapless Durga encounters a cross section of the society through the rest of the night.",horror,action
Highway of Tears,"Two college graduates take a road trip on the deadliest highway in North America. The script is based on the terrifying real story of Highway 16 in British Columbia, nicknamed the Highway of Tears.",horror,action
Kolay Para,"Eray, Servet and Guven are three friends sharing the same house. Servet's ambition to become rich will lead to a series of events that include Guven's alcoholic friend Ender and Eray's ex-lover Hulya.",action,horror
Rock 'n' Roll Frankenstein,"A music agent, his necrophiliac nephew and a burnt-out roadie join forces to create a superstar from the body parts of legendary dead rockers. But things go bad when Jim Morrison's genitalia is mistakenly switched for Liberace's.",horror,action
Cheap Ski Movie,Cardboard cutouts travel to ski resorts to get close to winter sports superstars.,action,romance
La tía Alejandra,"Old aunt Alejandra goes to live with a Mexican middle-class family; she's bitter and the children tease her and make her life miserable, but the old woman is truly a witch, and takes revenge.",horror,romance
Ümitler kirilinca,"Nejat learns that his wife is a drug dealer. Deciding to enter the warehouse where the drugs are stocked, Nejat is arrested after being held responsible for the death of Kezban, who helped him on the night of the incident.",romance,action
Sailing to Freedom,"Based on a true story, this film tells the story of Estonian boat refugees whose initial plan to travel from Estonia to Sweden becomes a journey to the other side of the world. Their",action,romance
Paku Pontianak,"After Adam hits a girl on the road while driving, he and his family decide to repent for their mistake by letting her live with them. The girl, whose name is Melati has amnesia and",horror,romance
Super 8,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",action,horror
Mobile Suit Z Gundam: A New Translation - Heirs to the Stars,"Ten years after the One Year War, Camille Bidan becomes involved in the conflict against the Titans as the pilot of Zeta Gundam.",action,romance
Dark Woods,A group of outlaws has a run in with evil.,horror,action
Chalta Purza,"Rajesh Khanna plays the role of Amar an unemployed struggle in life, just because he believes in honesty. Ammar's eyes open when his mother dies in a car accident. He realizes that his",action,romance
Dickless Zombies,"In this movie, people become zombies by repeating too many politically-correct statements. The few remaining free-thinkers fight for survival. The reason why the movie is called ""Dickless",horror,action
The Final Farley Film,"When two people find themselves in the Farley Films short ""Eggnog"", their friends work to help them escape this dangerous dimension. However, they soon realize their lives aren't just on the line, but the fate of the entire world.",action,horror
Devil's Angels,"An exiled band of Hell's Angels strike a bargain with the Sheriff of a local town, let them stay and the town is safe. But a local girl strays into their lair and sparks off a full scale Angel war.",action,horror
Bandaged,"Since his wife's death, Arthur, a peculiar and severe surgeon, cloisters his teen daughter Lucille inside a strange mansion. Desperate, Lucille tries to commit suicide and ends up with her",romance,horror
Man from Del Rio,A fast Mexican-American gunman kills a few notorious gunfighters and is hired to replace Mesa's dead sheriff but a crooked saloon-keeper wants him on his payroll or out-of-the-way.,romance,action
El Fetewa,A fresh man came from outskirt to Cairo to look for work ; He meets a tycoon and creates a struggle between them .,action,romance
Schnelles Geld,Peter Lommer overreached himself financially by buying a car. The debt weighs on him.,action,romance
Prophecy of Eve,"Eve's life is forever altered when her parents vanish without a trace after being attacked by supernatural agents. Growing up on the streets, Eve learns the art of self reliance. When s",action,horror
Mazhai,"Arjun (JAYAM Ravi), an unemployed youngster and Deva (Rahul Dev) a powerful don both fall in love with Sailaja (Shriya), a middle-class beauty, at the same time on a rainy day at a railway",action,romance
Olga O's Strange Story,"The former dancer of the night clubs come to her hometown after three years of absence. At present she has a successful marriage, behind - tragedy of the suicide of her father. Olga starts",horror,romance
Somewhere in the Middle,"Inspiration/suspense as good/bad choices of a young woman are highlighted. Experience an emotional roller coaster as the main character struggles to find her place in life. Family values, life issues & Christian themes are throughout.",action,romance
Campus Code,"Sensing something amiss on their college campus, a group of students go on a quest where they must survive unknown forces to find answers. Battling Guards, Griefers and at times each other, they'll have to fight to make it out alive!",action,horror
Kongo,This remake of West of Zanzibar (1928) made four years later tries to outdo the Lon Chaney original in morbidity. From a wheelchair a handicapped white man rules an area of Africa as a,horror,action
Alien Vs. Zombies,"Joe Alien fulfills a dream of coming to Earth to find that it's overrun by zombies. Finding an ally in young Parker, he attempts to save the world!",horror,action
Temptation,"After a heavy night out with the girls, Isabel, and attractive young professional woman catches an illegal mini-cab home. Things take a turn for the worse when the cabbie pulls her into an",horror,romance
Mogador,"Four young people make a crazy, deadly escape in this road movie from Las Vegas to Mexico.",action,horror
Death After Life,For death begins with life's first breath and life begins at touch of death. A terminally ill cop investigates the murder of a scientist who holds the key to the serum for ever lasting life.,action,horror
Devil Doll,An evil hyponotist/ventriloquist plots to gain an heiress' millions.,horror,action
Buffy the Vampire Slayer,Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.,action,horror
Wilby Wonderful,"A day-in-the-life dark comedy concerning a group of islanders, their respective secrets, and one man's plan to kill himself quietly.",romance,action
Bad Georgia Road,New York City woman inherits a moonshine farm in the South.,action,romance
"I, Frankenstein","Frankenstein's creature finds himself caught in an all-out, centuries-old war between two immortal clans.",action,horror
Dada,The cruel landlord is forcing the people to give him every girl of the village who wants to get marry. But a guy Dada is resisting. He gives the landlord a piece of land so he not to,action,romance
"Te necesito tanto, amor",Cantante Elio Roca juega un trabajador ocasional de la lÍnea de costa cuya conciertos como cantante en los restaurantes locales lo llevan a un contrato de grabación y el estrellato cuando,romance,action
Scream Free!,"Here's an ""Easy Rider"" - inspired plot with the combination of ""West Side Story"" stars. Richard Beymer falls in love with Lana Wood (sister Natalie wasn't available). They need cash so they",action,romance
Evil Angel,"When the young woman Emma Carillo is stabbed five times, paramedic Marcus Galan feels a great empathy for her and unsuccessfully tries to save her life in the Mercy Hospital. Meanwhile the",horror,romance
Time Hero: Legacy,Noman awakens from a medically induced comma to find an alternate reality with new threats to Earth.,action,horror
Prince Arsalan,Amir Arsalan who is in love with Farrokh-Lagha the prince travels to the west to find her. He there meets the two ministers of Petros Shah. One of them Shams Vazir is good with him but the,action,romance
A Town Called Hell,"A group of Mexican revolutionaries murders a town priest and a number of his christian followers. Ten years later, a widow arrives in town intent to take revenge from her husband's killers.",action,horror
The Matchmaker's Playbook,"After a career-ending accident, former NFL recruit Ian Hunter is back on campus-and he's ready to get his new game on.",romance,action
Tere Mere Sapne,"Dr. Anand Kumar attains his degree in medicine and re-locates to a small village to assist the local doctors there. Upon arrival, he is met by the ailing Dr. Prasad and his wife, and hired",romance,action
Wedding Celebration,The life of an impoverished male undergoes drastic changes after he gets his siblings married.,action,romance
The Dream,"a boy-child at his seventh birthday loses his parents , three sisters and four brothers including his twin by unknown murder , ends up adopted in another city after many years as an orphan.",horror,romance
Degenerate,"Four punks flee the city after a night of violence. Seeking refuge in the Arizona desert, they will find that their friendships can only stretch so far.",action,horror
Attack of the Vegan Zombies!,"Joe and his wife Dionne have had yet another bad crop for their winery. Faced with the prospect of losing the family farm, Dionne convinces her mother (a witch) to cast a spell upon next",horror,romance
The Sacred Flame,"A Florentine legend tells the story of a blunt and arrogant blacksmith who enlists with the Crusaders in an attempt to rekindle the love his wife once had for him. After seizing Jerusalem,",romance,action
Raktharakshassu,"The plot revolves around a renowned writer, his wife who is a fashion designer and their 7-year-old daughter. Upon being insisted by his young and fun-loving wife, he plans a family vacation at an island called Bungalow.",horror,romance
The Hawk,"A band of renegades attacks and loots a mission, stealing some priceless treasures. Local citizens blame an outlaw known as ""The Hawk,"" who is also called ""The Phantom of Santa Fe.""",romance,action
Friend,Zabih and Reza decide to leave the crime forever. But Reza who is in love with Aghdas is imprisoned for a fight over his friend Zabih. Aghdas herself comes to Tehran from Mashad to find,action,romance
Color of Night,"A color-blind psychiatrist is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with.",romance,horror
Christmas with the Dead,"In his quest to fulfill a promise made to his wife, Calvin sets out to right his wrongs and make it the best Christmas ever. If only it weren't June, and the majority of the population,",horror,action
Broken Silence,The story of Oakley and her return to UK to face the trial of her father.,romance,action
Drug Z Sequel,The continuing story of the Drug Z fallout.,horror,action
Nithya Jothe Sathya,Sathya helps his wife realize the visual delusions that she experiences and does whatever it takes to cure her back to good mental health.,romance,horror
Cesta z mesta,A computer programmer and his son are going out of the city for vacation.,romance,action
Bound and Gagged,"Our Hero's fiancée, who has broken off their engagement, agrees to make a trip around the world, starting absolutely naked, without money or help of any sort from others in order to prove his worth to her.",action,romance
De todos modos Juan te llamas,"El movimiento cristero, durante la Guerra Cristera en 1926 en Mexico.",romance,action
The Caller,"A young divorcee is getting her life back together by moving into an apartment. But what will she do when a strange person repeatedly calls her, and threatens to change her new life around?",horror,romance
Together,"In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",romance,horror
Best Supporting Actor,"Song is a young rocker whose rock band has failed. Down on his luck on the streets of Bangkok, he is rescued from a beating by motorcycle-taxi drivers by a gang of scooters. The leader of",romance,action
Mild Afternoon,"Pinsheng Feng is a Government Official. He had affair with a local TV reporter Fang Wu. Feng's son, Guangxue, is in love with Xuanyan Tao, she is the daughter of Guangxue's English Teacher.",romance,action
Jatt & Juliet 2,"Two Punjab Police officers head to Canada to solve on a mission. When they get to Canada, their mission isn't as simple as what they first thought.",romance,action
Half of a Yellow Sun,"Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",romance,action
Radúz a Mahulena,"Radúz (Jan Tríska), the son of a Magurian king, has lost his way hunting in the territory of the Tatra King Stojmír (Jirí Adamíra). He learns from his loyal servant Radovid (Vladimír Ráz)",romance,action
Nocturne,An incredibly gifted pianist makes a Faustian bargain to overtake her older sister at a prestigious institution for classical musicians.,horror,romance
Janosik. Prawdziwa historia,"The script by Eva Borusevicova describes the true story of Janosik, the XVIII centuries outlaw, who was prowling through Slovak-Polish border. The story of Janosik, a legendary ""Central",romance,action
Ilaaka,"Ilaaka - has a small little world of its own. A world of dreams and desires love and longings, hatred and hardships. This is Raja who stands at the cross roads of truth and traditions.. In",action,romance
Misterio en Marbella,"The ghost of his dead wife ruins all his dates, but this janitor is determined to find love again. When a series of robberies take place in his building, he is paired with his nerdy",romance,horror
Il segreto nel segreto,"In a bar Luis, Roald's best friend, is shot. He had a piece of paper in his pocket with some symbols drawn on. Roald and Luis's friends began to investigate and discover the dark side of their town.",action,horror
Run,"Siva (Madhavan) comes to Madras from a small Tamil Nadu town to study. He instantly falls in love with elusive stranger Priya (Meera Jasmine), who resists his charms quite persistently.",action,romance
House of Terror,"In 1989, two small time criminals named Tony and Charles rob a bank, Tony Kills Charles to keep all of the money for himself and to build a good life for his infant daughter Shayla. Twenty",horror,action
Monster Trucks,A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,action,horror
Dildaar,"A man wants to marry the daughter of the village 'sarpanch', but is turned down because he is an illiterate person. He vows to marry a woman who is more educated than her.",action,romance
Having My Baby,Fundamentalist Christian Blaine Carson kidnaps agnostic Sophie Alexander from an abortion clinic parking lot and takes her to the mountains to force her to have his baby as they are pursued by the FBI and National Guard.,romance,action
All She Wants 2,"Best frienemies pick up where they left off ten years ago, battling for supremacy in life and the arts.",romance,action
No Dice: Killer Club,"A ruthless drag diva and her arch-rival starlet are forced to form an unlikely pair when they're trapped in their nightclub with a masked killer. Together with a ragtag group of clubbers, they must fight to survive the night.",horror,action
The Snake Queen,Explores the love story of a girl who happens to be in the bloodline of the Snake King.,action,romance
Mujrim,"Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",action,romance
Death in Venice,"While recovering in Venice, sickly composer Gustav von Aschenbach becomes dangerously fixated with teenager Tadzio.",romance,horror
Zapatlela 2,"Tatya Vinchu comes back to life after 20 years, and now wants to migrate into the body of Lakshya's son.",horror,romance
Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",romance,horror
Web of Danger,"Ernie Reardon, the superintendent, and Bill O'Hara, the foreman, of a construction company crew working on a bridge to a remote valley, are constantly quarreling over small and minor matter",action,romance
Untitled Feature Film,"Dating in any city can be difficult. But dating in Los Angeles is even harder. Between all of the bling, celebrities and velvet ropes, Haley hopes that someone real steps out from behind all of the smoke and mirrors.",action,romance
The Eyes Diary,It has been three months since Nott (Punjan) become full of sadness and suffering like he has never been. It's because that one night which cause him to lose Pla (Focus) his beloved,horror,romance
Viswasam,"A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.",action,romance
The Young,"It follows the story of a man (Cael) who leads a team of survivors through post apocalyptic England - half a century away, in an unforgiving landscape. Everyone is born into hell. After",action,horror
A Holy Terror,Eastern millionaire's son Bard finds his father murdered and flies west to see rancher Drew who may know something about it. En route he crashes his plane into Jerry's bathroom; she falls,action,romance
Subah Subah,Indian movie directed by Indrajeet Singh Bansal.,romance,action
The Neon Demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",horror,romance
Roam,"Amid the looming 2012 end-of-the-world hysteria, two boys take an unplanned trip up the Atlantic Coast and end up laying bare the tacit truths within their friendship, themselves, and the human experience.",romance,horror
Malaikallan,A young man saves the daughter of a zamindar when she is kidnapped and then they both fall in love with each other.,action,romance
Black Jack,"Black Jack is the coming-of-age story of Jacky, a young, frivolous adventurer, searching for an identity and thirsty for love. As he is swept into the world of crime, he falls in love with",action,romance
Teachers Lessons,"A Woman abducts people and takes them to her ""classroom"" to teach them her lessons. Beware though fail one lesson and you are history.",horror,romance
Piyalir Password,"A young woman comes to the United States from India to complete the legal formalities of her scientist sister's accidental death. However, as she tries to wrap things up, to her horror she",action,horror
Other Voices,"This stylized turn-of-the-millennium thriller follows troubled couple Phil and Anna, each suspecting the other of infidelity, as they try to keep their paranoia and distrust from further fracturing the strange world around them.",romance,horror
My Son the Fanatic,Pakistani taxi-driver Parvez and prostitute Bettina find themselves trapped in the middle when Islamic fundamentalists decide to clean up their local town.,romance,action
Everyday Black Man,"Since closing the door to a violent past, quiet and thoughtful Moses Stanton everyday existence is running a small neighborhood store, and watching over his daughter who doesn't know he",action,horror
Cheyenne's Haven,Based on a true story- Romantic Action Western,romance,action
Dionysus,Based on the graphic novel by Lance Khazei,action,horror
Qareen,Plot currently under wraps.,horror,action
Super Z,The adventures of a family of genetically modified super-zombies.,horror,action
Invitation to Lust,"Tall blonde German professor Dr. Mannheim experimenting with an aphrodisiac and accompanying cult ritual, to make scientific breakthroughs for the benefit of mankind.",romance,horror
The Sea Wolf,"George, Ruth and Humphrey go for a boat ride with Wolf Larsen.",romance,action
Kalpataroo,"Anaadimohan, is an ordinary man, with some extra ordinary quality. He is being loved by everyone right from the down trodden to the respectable ruling ministers , only because of his such",romance,action
Criticsized,The most vicious serial killer of the 21st-century... and he's just getting warmed up!,action,horror
The Life and Times of Judge Roy Bean,"In Vinegaroon, Texas, former outlaw Roy Bean appoints himself the judge for the region and dispenses his brand of justice as he sees fit.",romance,action
Sight Unseen,Rusty is a police officer in the small town of Clear River. One evening Rusty is shot by the river while investigating a truck filled with drugs -- Rusty never saw who shot him. Two years,romance,action
Sui jeuk fun ji,"In this comedy about overcoming all odds, a group of guys must learn to swim and take part in a 4x100m relay and beat the pros who look down on them. Can they become good enough swimmers",romance,action
120 Hours,The past is never forgotten.,action,horror
Blue Desert,"A man who is tormented by his intuitions and by dreams goes away to find answers to his discomfort. Revelations are made to him along his path, until he meets his soul mate and is prepared to the Blue Desert.",romance,horror
The Cosmonaut,"Stas, the cosmonaut, gets lost in space. When he comes back he finds Earth completely empty of human life. Yulia and Andrei wait for him on the other side of a collapsing world. How far would you go for love?",romance,horror
The Park,"From Boyz in the Hood to Boyz in the Park. This story revolves around Parkerson Park, four friends and what happens in Parkerson Park after dark. ""Don't get caught in the park after dark""",action,horror
Four Moods,"This movie contains four separate stories, each by a different director. They are all ghost stories, including themes such as death wishes, prison, and alcoholism. Good and evil women play prominent roles in the various tales.",romance,horror
Silent Sentinel,"The president of a trust company frames his cashiers for his theft of funds so that he can also collect from the bonding companies. Bob Benton (Gareth Hughes), an assistant cashier, aids",action,romance
Vengeance: The Death Wish,"After having an affair with a married man, Janice Alba seeks revenge when she uncovers his betrayal. She exacts her vengeance on the traitor and those close to him.",horror,action
Creepy Island,A group of friends find themselves in the hands of a mad doctor who plans to use them in his scheme to take over the world.,horror,action
Mangamma Sabatham,"Mangamma Sabatham is a 1985 Indian Tamil film, directed by ""K. Vijayan"" and Producer by ""Suresh Balaji"" The film Stars, ""Kamal Haasan, Sujatha, Madhavi, Sathyaraj, Balan K. Nair, Sukumari"" in lead roles. Music by, Shanker Ganesh.",action,romance
Thale 2,The continuing adventures of a Norwegian folk legend about a woman with a tale that comes to life.,horror,romance
I am going to Mars: Testing Movie,Visiting Mars to set up a new restaurant.,horror,romance
The Legend of Pinky Pinky,Plot kept under wraps.,horror,action
The Big Trail,Breck Coleman leads hundreds of settlers in covered wagons from the Mississippi River to their destiny out West.,romance,action
The Babymoon,"In an unsteady relationship, a husband tries to impress his pregnant wife with a ""babymoon"" vacation to the most exotic, Instagram-worthy country on the planet, which unbeknownst to him, is undergoing a political revolution.",action,romance
Wrecking Ball,A woman murders her abusive husband in cold blood. She sets off on the road with her young daughter as her husband's family stops at nothing to avenge their son's death and get their granddaughter back.,action,horror
Telekineticist,"Robert is a lawyer in New York. His life changes instantly as his daughter is killed in an accident and his wife gets seriously sick. Searching for spiritual help, he learns to move objects with his mind.",action,romance
Story of Kale: When Someone's in Love,"Dinda is saved by Kale from her toxic relationship with Argo. Dinda and Kale then have a relationship together. The relationship that start out beautiful, turned into a new nightmare.",romance,horror
Biu choh chat yat ching,"Heralded as the funniest Hong Kong comedy of the early 1980s, this was also Shaw Brothers' most popular film of 1983 and a multiple award-winner. It was also the first film for the",romance,action
Shin Chan: The Adult Empire Strikes Back,"When a new threat regresses the minds of the adults of Kasukabe back into children, its up to Shinnosuke and his friends to reclaim their parents from becoming trapped in the nostalgia of the 20th Century.",action,horror
The Evil John Krackers,"A college freshman meets a young student on her first day of classes, who subsequently becomes her mentor in her chemistry class and later learns about his nefarious chemical activities with a deadly virus he's developing.",horror,action
Elizabeth Harvest,"A brilliant man marries a beautiful woman and shows her his home, stating that it's all hers - except a room she can't enter. First chance she enters and discovers what might be human cloning. When the husband returns she pays the price.",horror,romance
Devils & Angels,Since his wife's death 20 years ago ex-detective Jack Wicks has sought revenge to capture and kill the homicidal Angel Smith. Smith has managed to slip from town to town murdering anyone in,horror,action
Speed Limited,A wealthy young girl in Las Vegas getting a divorce from her banker husband becomes involved with a lady gangster and the G-Man that is after the gangster lady and her gang.,action,romance
Breed of the Sea,"Tom and Tod Pembroke are the twin sons of Jefferson Pembroke, a Virginia Bishop, and are divinity-school students. Tom is serious and Tod carefree and adventurous, and both are in love with",action,romance
The Road to D.C.,"A tragic story about two step-siblings as they make their way toward Washington, D.C., and across a post-apocalyptic U.S.A. forever stuck in 1988.",horror,action
Bhayam,"Bhayam is a 2007 Indian Telugu film, directed by D. Ranga Rao and Produced by D. Ranga Rao. The film stars Bharghav, Vamsi, Vidhya, Sriram, Soumya and Ramesh in lead roles. The music of the film was composed by T V S Raj.",horror,action
Attakkalasam,The movie narrates the story of two brothers who got separated because of a very unfortunate incident in their life which destroys the family relationships.,action,romance
The Lost Husband,"Trying to put her life back together after her husband's death, Libby and her children move to her estranged aunt's goat farm in central Texas.",romance,horror
Carnivore,Plot under wraps currently.,horror,action
Frightening Embroidery Shoes,The film tells the story of An Wen wearing ancestral embroidered shoes by accident.,horror,romance
Efe aski,The story of a warrior who took advantage of an amnesty to cross from a mountain to a city.,romance,action
Bypass,An American adventure seen through the eyes of a French girl in love. A road trip down a dangerous Nuclear Highway where reality is perception and salesmen and thieves are indistinguishable,romance,horror
London Conspiracy,"Highbrow Englishman, Lord Brett Sinclair and Bronx-born American fortune seeker, Danny Wilde seem an unlikely pair, but their friendship propels them on some wild and wacky adventures in Robert S. Baker's LONDON CONSPIRACY.",action,romance
Servants' Quarters,"Amy Mustafi, a high-flying big city lawyer, moves into a British countryside estate which has just been purchased by her wealthy husband Shayan Mustafi. Due to her Bipolar Disorder, Amy has",horror,romance
Queen of the Gypsies,"Rada, a beautiful and very proud gipsy girl is used to steal men's hearts and monk them. Zobar is a horse thief who's heart is stolen by Rada and his mind is bewitched. He is ready to give up his freedom but not his pride.",romance,action
Fear of a Black Planet,"A race war suddenly breaks out in the streets, forcing a young woman to desperately seek refuge inside a dark warehouse with a stranger. She quickly finds out that it is more dangerous",action,horror
Fallen Skyes,"There are lines between fantasy and reality, justice and revenge. Tonight, Aidan Skyes will cross all the lines.",romance,action
Veera Kannadiga,Veera Kannadiga is a 2004 Kannada language film starring _Puneet Rajkumar_ and Naan Sigappu Manithan (2014).,action,romance
The People Under the Stairs,"Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",horror,action
Willful Blindness,WILLFUL BLINDNESS is a pastiche of vignette constructions pulled from the psychic shores of the subconscious.Time is irrelevant for director and artist James Higginson as he rakes the,horror,romance
Chupacabras,"A tabloid journalist doesn't believe a word he writes, until he gets sent to investigate cattle mutilations in a West Texas.",horror,action
The Road to Ashvem,"When two backpackers, Joseph and Samantha, clash horribly on the plane to India, they are more determined than ever to follow their own very separate paths, but India has other ideas.",romance,action
Nothing Man,A homeless amnesiac strives to unlock the secret to his best friends murder but at the cost of unlocking his own checkered past.,action,horror
Slaughter of the Innocents,"A seasoned F.B.I. Agent's child-genius son assists him on catching a child-killer, a schizophrenic mohab nut who believes he's been chosen by god to be a new Noah.",horror,action
Trisulam,"Watch the full movie, Trisulam online, only on Eros Now. Ramu, a young man with strong ideals, is determined to change the fate of his village people by educating them. However, Krishna,",action,romance
Death Becomes Her,"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",horror,romance
My Candy Happiness,Sending a sexy licking jawbreaker licking video.,romance,horror
On the Edge of Eden,"In the middle of nowhere, stuck on a mobile - Paradise becomes hell as Ash and Jen's 3 day holiday becomes more of a tactical nightmare than a romantic getaway.",romance,horror
Bombai Ka Babu,"Babu and Malik are two inseparable friends who live in a small town in India. One day they decide to play a prank and steal something. They get caught, while Malik's dad come to bail out",romance,action
The Aurora,Geologist Hiroshi Ibuki is drilling in deep waters striving to uncover clues to the origin of the planet when he instead unearths a hitherto undiscovered colony of luminescent bacteria.,action,horror
Inside You,Stephanie and Ryan switch bodies after a magic night together.,romance,horror
The Hand That Feeds the Dead,"Under strong influence from his burn victim wife, a wealthy aristocrat does skin transplants from young women, who were captured, operated on against their will and then killed, to fix his wife's burnt body.",horror,romance
The Black Hole,"A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",action,horror
Watch List,"A group of people down on their luck are forced to participate in a game of kill or be killed, vying for a prize that could turn their lives around.",action,horror
Breathe,"Widowed father, Michael Chapel, and his two children find themselves in a hospital under siege held by Chapel's neighbor Henry, and his sons, who demand that their wife and mother receive a new trial cancer drug.",action,horror
Luca,"An investigative thriller with elements of romance, the film narrates the story of two couples: a Kochi-based scrap artist named Luca and his girlfriend Niharika; and a police officer named Akbar and his wife Fathima.",romance,action
Two in the Morning,A woman's life is in dangerous because of the secret of hidden gold in the house left by her parents.,horror,action
Olvídame,Víctor is the leader of a sect and murders his occasional partners. Ámbar is a stripper with an exultant and disturbing sexuality. She uses sex as a vehicle for her own destruction. They fall viscerally and passionately in love.,romance,horror
Portrait of a Zombie,"When son, Billy, becomes a zombie the family chooses to take care of him in the home much to the chagrin of the neighbors and the local crime boss.",horror,action
The Punks,A NEW BREED OF YOUTHS ASSERT THERE PERSONAL IDENTITIES.,action,romance
Untitled John Krasinski/Oren Uziel Project,Logline kept under wraps.,action,horror
Undeath,The plot is being kept confidential.,horror,action
Lotfi,"The film relates the career of Colonel Lotfi, whose real name is Benali Boudghene, since his beginnings as an activist in Tlemcen where, with his classmates from high school, he posted the",action,romance
Newcastle,Tragedy befalls one of three brothers while on an outback surfing outing with friends.,romance,horror
Irukku Aana Illai,"The movie begins in a bar, where an aspiring director meets his friends. One of his friend, Meenakshi Sundaram (Aadhavan) says he has a beautiful horror story script from his own experience and narrates what happened in his friend's life.",horror,romance
True Nature,"A troubled teen runaway is sent to live with a new foster family, but their carefully composed life may not be as it seems.",horror,romance
Bullets from Beyond,Bounty Hunter Tony Monaco must return a sacred skull to a lost temple before supernatural ghost riders can thwart his quest.,horror,action
Portrait of a Hitman,"A professional hitman is hired to kill a brain surgeon. However, it turns out that not only are he and the surgeon old friends, but they are both in love with the same woman.",action,romance
Kindred Spirits,A successful single mother's carefree sister reappears out of the blue one day to stay with her and her teenage daughter.,horror,romance
Reflections in a Golden Eye,"Bizarre tale of sex, betrayal, and perversion at a military post.",romance,horror
Bloodline,"Evan values family above all else, and anyone who gets between him, his wife, and newborn son learns that the hard way. But when it comes to violent tendencies, it seems the apple doesn't fall far from the tree.",horror,romance
Sone Ki Zanjeer,"Avinash is laid in a trap by a friend and his lover who are behind his wealth, his friend marries Avinash to his lover, by the time his wife realizes his mistake Avinash dies after falling from his balcony.",action,romance
Bunshinsaba: Hoichi the Earless,"You Mei is feeling the pressure of living under the shadow of her more successful sister. After a failed suicide attempt, she finds an abandoned statue on the street and takes it home. When",horror,romance
Landfall,"The story of two horrific natural disasters that hit Florida sixty years apart, the 1935 Labor Day Hurricane and the 1992 Hurricane Andrew, and a 74-year-old woman named Emily who lived through both of them.",romance,horror
The Gray Ghost,"Chapter 1: The Bank Mystery - Carlow (T.D. Crittenden), a wealthy American living in London, is engaged to Lady Gwendolyn (Gertrude Astor) and has ordered from Arabin and Company, famous",action,romance
The Judging Room,A brother fights the seven deadly sins to free has sister from hell.,action,horror
The Last Supper,"Yuji Kotorida has become plastic surgeon to the rich and famous - almost over night transforming himself from nebbish to charismatic icon. His secret? He eats women. In a flashback, we",horror,romance
